Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
33757333,07/04/2016 04:11:26 PM,07/04/2016 04:42:22 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,11693,109 EAST 6 ROAD,EAST 6 ROAD,101 STREET,102 STREET,,,ADDRESS,FAR ROCKAWAY,,Precinct,Closed,07/05/2016 12:11:26 AM,07/04/2016 04:42:22 PM,14 QUEENS,QUEENS,1034939,161216,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60903206583955,-73.81744152089513,"(40.60903206583955, -73.81744152089513)"
33757334,07/04/2016 10:24:25 PM,07/04/2016 11:32:10 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11234,RYDER STREET,RYDER STREET,FLATLANDS AVENUE,AVENUE P,,,BLOCKFACE,BROOKLYN,,Precinct,Closed,07/05/2016 06:24:25 AM,07/04/2016 11:32:10 PM,18 BROOKLYN,BROOKLYN,1001637,164620,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61850326190288,-73.93737117262934,"(40.61850326190288, -73.93737117262934)"
33757772,07/04/2016 11:46:22 AM,07/04/2016 02:52:54 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11413,,,,,219 STREET,135 AVENUE,INTERSECTION,SPRINGFIELD GARDENS,,Precinct,Closed,07/04/2016 07:46:22 PM,07/04/2016 02:52:54 PM,13 QUEENS,QUEENS,1053216,186351,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67789855375227,-73.7513595248893,"(40.67789855375227, -73.7513595248893)"
33757773,07/04/2016 10:16:57 PM,07/04/2016 10:40:59 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10458,354 EAST MOSHOLU PARKWAY SOUTH,EAST MOSHOLU PARKWAY SOUTH,MARION AVENUE,DECATUR AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,07/05/2016 06:16:57 AM,07/04/2016 10:40:59 PM,07 BRONX,BRONX,1016909,256313,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87013405351,-73.88191549618055,"(40.87013405351, -73.88191549618055)"
33757843,07/04/2016 09:33:34 AM,07/04/2016 10:02:04 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,10465,,,,,LAWTON AVENUE,EAST TREMONT AVENUE,INTERSECTION,BRONX,,Precinct,Closed,07/04/2016 05:33:34 PM,07/04/2016 10:02:04 AM,10 BRONX,BRONX,1035077,237202,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81759415612107,-73.81637082603513,"(40.81759415612107, -73.81637082603513)"
33758457,07/05/2016 06:21:08 PM,07/05/2016 09:14:00 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11105,22-58 36 STREET,36 STREET,DITMARS BOULEVARD,23 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,07/06/2016 02:21:08 AM,07/05/2016 09:14:00 PM,01 QUEENS,QUEENS,1009269,220971,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77315527859204,-73.90967104160505,"(40.77315527859204, -73.90967104160505)"
33758507,07/05/2016 08:50:41 AM,07/05/2016 03:31:38 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Park/Playground,11230,,,,,EAST    4 STREET,AVENUE L,INTERSECTION,BROOKLYN,,Precinct,Closed,07/05/2016 04:50:41 PM,07/05/2016 03:31:38 PM,12 BROOKLYN,BROOKLYN,992061,164851,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.619150926095955,-73.97186412354347,"(40.619150926095955, -73.97186412354347)"
33760606,07/06/2016 12:38:32 AM,07/06/2016 01:15:40 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11412,,,,,197 STREET,LINDEN BOULEVARD,INTERSECTION,SAINT ALBANS,,Precinct,Closed,07/06/2016 08:38:32 AM,07/06/2016 01:15:40 AM,12 QUEENS,QUEENS,1052167,192091,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69366158960907,-73.75508356494835,"(40.69366158960907, -73.75508356494835)"
33761171,07/05/2016 10:21:38 PM,07/06/2016 04:17:03 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11422,,,,,134 AVENUE,245 STREET,INTERSECTION,ROSEDALE,,Precinct,Closed,07/06/2016 06:21:38 AM,07/06/2016 04:17:03 AM,13 QUEENS,QUEENS,1059245,184266,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6721267009863,-73.72964673459906,"(40.6721267009863, -73.72964673459906)"
33762865,07/05/2016 09:08:42 PM,07/05/2016 10:19:12 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11369,GILMORE STREET,GILMORE STREET,27 AVENUE,29 AVENUE,,,BLOCKFACE,EAST ELMHURST,,Precinct,Closed,07/06/2016 05:08:42 AM,07/05/2016 10:19:12 PM,03 QUEENS,QUEENS,1021288,217394,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76329516499219,-73.86629723892183,"(40.76329516499219, -73.86629723892183)"
